,text,cleantext,afinn,newtext,clusters
0,"Mr. Speaker, Mr. Vice President, members of Congress, the first lady of the United States, and my fellow Americans:","mr. speaker, mr. vice president, members of congress, the first lady of the america, and my fellow american:",Neutral,"mr. speaker , mr. vice president , member of congress , the first lady of the united state , and my fellow american :",5
1,"Less than one year has passed since I first stood at this podium, in this majestic chamber, to speak on behalf of the American people — and to address their concerns, their hopes and their dreams. That night, our new administration had already taken swift action. A new tide of optimism was already sweeping across our land.","less than one year has passed since i first stood at this podium, in this majestic chamber, to speak on behalf of the american people — and to address their concerns, their hopes and their dreams. that night, our new administration had already taken swift action. a new tide of optimism was already sweeping across our land.",Positive,"less than one year have pass since i first stand at this podium , in this majestic chamber , to speak on behalf of the american people — and to address their concern , their hope and their dream . that night , our new administration have already take swift action . a new tide of optimism be already sweeping across our land .",4
2,"Each day since, we have gone forward with a clear vision and a righteous mission — to make America great again for all Americans.","each day since, we have gone forward with a clear vision and a righteoamerican mission — to make america great again for all american.",Positive,"each day since , we have go forward with a clear vision and a righteous mission — to make america great again for all american .",6
3,"Over the last year, we have made incredible progress and achieved extraordinary success. We have faced challenges we expected, and others we could never have imagined. We have shared in the heights of victory and the pains of hardship. We endured floods and fires and storms. But through it all, we have seen the beauty of America's soul, and the steel in America's spine.","over the last year, we have made incredible progress and achieved extraordinary success. we have faced challenges we expected, and others we could never have imagined. we have shared in the heights of victory and the pains of hardship. we endured floods and fires and storms. but through it all, we have seen the beauty of america's soul, and the steel in america's spine.",Positive,"over the last year , we have make incredible progress and achieve extraordinary success . we have face challenge we expect , and others we could never have imagine . we have share in the height of victory and the pain of hardship . we endure flood and fire and storm . but through it all , we have see the beauty of america 's soul , and the steel in america 's spine .",11
4,"Each test has forged new American heroes to remind us who we are, and show us what we can be.","each test has forged new american heroes to remind american who we are, and show american what we can be.",Positive,"each test have forge new american hero to remind u who we be , and show u what we can be .",6
5,"We saw the volunteers of the ""Cajun Navy,"" racing to the rescue with their fishing boats to save people in the aftermath of a devastating hurricane.","we saw the volunteers of the ""cajun navy,"" racing to the rescue with their fishing boats to save people in the aftermath of a devastating hurricane.",Positive,"we saw the volunteer of the `` cajun navy , '' race to the rescue with their fishing boat to save people in the aftermath of a devastating hurricane .",2
6,We saw strangers shielding strangers from a hail of gunfire on the Las Vegas strip.,we saw strangers shielding strangers from a hail of gunfire on the las vegas strip.,Positive,we saw stranger shield stranger from a hail of gunfire on the la vega strip .,14
7,"We heard tales of Americans like Coast Guard Petty Officer Ashlee Leppert, who is here tonight in the gallery with Melania. Ashlee was aboard one of the first helicopters on the scene in Houston during Hurricane Harvey. Through 18 hours of wind and rain, Ashlee braved live power lines and deep water to help save more than 40 lives. Thank you, Ashlee.","we heard tales of american like coast guard petty officer ashlee leppert, who is here tonight in the gallery with melania. ashlee was aboard one of the first helicopters on the scene in hoamericanton during hurricane harvey. through 18 hours of wind and rain, ashlee braved live power lines and deep water to help save more than 40 lives. thank you, ashlee.",Positive,"we hear tale of american like coast guard petty officer ashlee leppert , who be here tonight in the gallery with melania . ashlee be aboard one of the first helicopter on the scene in houston during hurricane harvey . through 18 hour of wind and rain , ashlee brave live power line and deep water to help save more than 40 life . thank you , ashlee .",7
8,We heard about Americans like firefighter David Dahlberg. He is here with us too. David faced down walls of flame to rescue almost 60 children trapped at a California summer camp threatened by wildfires.,we heard about american like firefighter david dahlberg. he is here with american too. david faced down walls of flame to rescue almost 60 children trapped at a california summer camp threatened by wildfires.,Positive,we hear about american like firefighter david dahlberg . he be here with u too . david face down wall of flame to rescue almost 60 child trap at a california summer camp threaten by wildfire .,14
9,"To everyone still recovering in Texas, Florida, Louisiana, Puerto Rico, the Virgin Islands, California and everywhere else — we are with you, we love you, and we will pull through together.","to everyone still recovering in texas, florida, louisiana, puerto rico, the virgin islands, california and everywhere else — we are with you, we love you, and we will pull through together.",Positive,"to everyone still recover in texas , florida , louisiana , puerto rico , the virgin island , california and everywhere else — we be with you , we love you , and we will pull through together .",13
10,"Some trials over the past year touched this chamber very personally. With us tonight is one of the toughest people ever to serve in this House — a guy who took a bullet, almost died, and was back to work three and a half months later: the legend from Louisiana, Congressman Steve Scalise.","some trials over the past year touched this chamber very personally. with american tonight is one of the toughest people ever to serve in this hoamericane — a guy who took a bullet, almost died, and was back to work three and a half months later: the legend from louisiana, congressman steve scalise.",Negative,"some trial over the past year touch this chamber very personally . with u tonight be one of the tough people ever to serve in this house — a guy who take a bullet , almost die , and be back to work three and a half month later : the legend from louisiana , congressman steve scalise .",2
11,"We are incredibly grateful for the heroic efforts of the Capitol Police officers, the Alexandria police, and the doctors, nurses and paramedics who saved his life, and the lives of many others in this room.","we are incredibly grateful for the heroic efforts of the capitol police officers, the alexandria police, and the doctors, nurses and paramedics who saved his life, and the lives of many others in this room.",Positive,"we be incredibly grateful for the heroic effort of the capitol police officer , the alexandria police , and the doctor , nurse and paramedic who save his life , and the life of many others in this room .",7
12,"In the aftermath of that terrible shooting, we came together, not as Republicans or Democrats, but as representatives of the people. But it is not enough to come together only in times of tragedy. Tonight, I call upon all of us to set aside our differences, to seek out common ground, and to summon the unity we need to deliver for the people we were elected to serve.","in the aftermath of that terrible shooting, we came together, not as republicans or democrats, but as representatives of the people. but it is not enough to come together only in times of tragedy. tonight, i call upon all of american to set aside our differences, to seek out common ground, and to summon the unity we need to deliver for the people we were elected to serve.",Negative,"in the aftermath of that terrible shooting , we come together , not a republican or democrat , but a representative of the people . but it be not enough to come together only in time of tragedy . tonight , i call upon all of u to set aside our difference , to seek out common ground , and to summon the unity we need to deliver for the people we be elect to serve .",13
13,"Over the last year, the world has seen what we always knew: that no people on Earth are so fearless, or daring, or determined as Americans. If there is a mountain, we climb it. If there is a frontier, we cross it. If there is a challenge, we tame it. If there is an opportunity, we seize it.","over the last year, the world has seen what we always knew: that no people on earth are so fearless, or daring, or determined as american. if there is a mountain, we climb it. if there is a frontier, we cross it. if there is a challenge, we tame it. if there is an opportunity, we seize it.",Positive,"over the last year , the world have see what we always know : that no people on earth be so fearless , or daring , or determine a american . if there be a mountain , we climb it . if there be a frontier , we cross it . if there be a challenge , we tame it . if there be an opportunity , we seize it .",3
14,So let us begin tonight by recognizing that the state of our union is strong because our people are strong.,so let american begin tonight by recognizing that the state of our union is strong becaamericane our people are strong.,Positive,so let u begin tonight by recognize that the state of our union be strong because our people be strong .,2
15,"And together, we are building a safe, strong and proud America.","and together, we are building a safe, strong and proud america.",Positive,"and together , we be build a safe , strong and proud america .",13
